Run,Time,Glc,Man,All,Gal,Alt,Tal,Gul,Ido
1,0,100,0,0,0,0,0,0,0
1,1200,83.13953488,0.872093023,14.8255814,1.162790698,0,0,0,0
1,2400,68.73156342,1.179941003,29.20353982,0.884955752,0,0,0,0
1,4800,47.49262537,1.474926254,47.78761062,2.064896755,0,1.179941003,0,0
1,9600,22.18934911,1.183431953,70.41420118,4.437869822,0,1.775147929,0,0
1,16800,10.69364162,1.156069364,78.9017341,5.49132948,0,3.757225434,0,0
2,0,0,100,0,0,0,0,0,0
2,1200,1.337792642,88.9632107,0,0,2.341137124,7.357859532,0,0
2,2400,2.990033223,79.06976744,0,0,4.318936877,13.62126246,0,0
2,4800,3.80952381,64.12698413,1.587301587,0,6.984126984,23.49206349,0,0
2,9600,4.815864023,42.49291785,5.099150142,0.849858357,9.348441926,37.39376771,0,0
2,16800,4.985337243,26.68621701,9.677419355,0.879765396,9.384164223,48.38709677,0,0
3,0,2.102102102,0,97.8978979,0,0,0,0,0
3,1200,3.012048193,0,96.98795181,0,0,0,0,0
3,2400,3.869047619,0,96.13095238,0,0,0,0,0
3,4800,4.871060172,0,95.12893983,0,0,0,0,0
3,9600,5.775075988,0,94.22492401,0,0,0,0,0
3,16800,7.228915663,0,92.77108434,0,0,0,0,0
4,0,0,0,0,100,0,0,0,0
4,1200,1.623376623,0,0,91.55844156,0,3.896103896,2.922077922,0
4,2400,2.302631579,0,0.328947368,84.21052632,0,8.552631579,4.605263158,0
4,4800,4.47284345,0,0.958466454,71.24600639,0,14.37699681,8.945686901,0
4,9600,4.6875,0,4.6875,55.3125,0,23.4375,11.875,0
4,16800,4.402515723,0,11.63522013,39.62264151,0,31.76100629,12.57861635,0
5,0,0,0,0,0,0,100,0,0
5,1200,0,0,0,0,0,100,0,0
5,2400,0,0,0,0,0,100,0,0
5,4800,0,0,0,1.003344482,0,98.99665552,0,0
5,9600,0,0,0,1.724137931,0,98.27586207,0,0
5,16800,0,0,0,3.202846975,0,96.79715302,0,0
6,0,0,0,0,0,100,0,0,0
6,1200,0.325732899,3.908794788,3.908794788,0,89.57654723,0,0,2.280130293
6,2400,0.636942675,8.917197452,8.917197452,0,79.93630573,0,0,1.592356688
6,4800,1.840490798,11.96319018,15.64417178,0,62.57668712,3.067484663,0,4.90797546
6,9600,1.587301587,18.0952381,24.44444444,0,44.12698413,8.888888889,0,2.857142857
6,16800,2.265372168,18.12297735,33.65695793,0,28.802589,13.59223301,0,3.55987055
7,0,0,0,0,0,0,0,100,0
7,1200,0,0,2.167182663,5.263157895,0,0,92.56965944,0
7,2400,0,0,9.580838323,13.47305389,0,0,76.94610778,0
7,4800,0,0,16.56441718,19.63190184,0,1.533742331,62.26993865,0
7,9600,0,0,26.39296188,23.46041056,0,4.985337243,45.16129032,0
7,16800,3.095975232,0,33.12693498,25.07739938,0,9.287925697,29.41176471,0
8,0,0,0,0,0,0,0,0,100
8,1200,0,0,0,0,1.661129568,8.970099668,0,89.36877076
8,2400,0,0,0,0,2.588996764,15.53398058,3.236245955,78.6407767
8,4800,0,0,0,0,3.986710963,25.24916944,4.651162791,66.11295681
8,9600,0,0,1.355932203,0,4.745762712,37.62711864,7.118644068,49.15254237
8,16800,0,0,3.806228374,0,4.498269896,50.17301038,7.266435986,34.25605536
9,0,0,50,0,0,50,0,0,0
9,1200,1.993355482,46.17940199,1.993355482,0,45.84717608,3.986710963,0,0
9,2400,2.295081967,42.95081967,3.93442623,0,41.96721311,7.213114754,0,1.639344262
9,4800,2.53968254,37.14285714,7.619047619,0,35.55555556,13.96825397,0,3.174603175
9,9600,3.322259136,31.22923588,12.95681063,0,28.23920266,20.26578073,0,3.986710963
9,16800,3.703703704,22.8956229,19.86531987,0,18.85521886,30.63973064,0,4.04040404
10,0,0,0,0,46.77419355,0,0,53.22580645,0
10,1200,0,0,3.03030303,44.10774411,0,3.703703704,49.15824916,0
10,2400,1.967213115,0,5.573770492,43.93442623,0,4.918032787,43.60655738,0
10,4800,3.300330033,0,9.900990099,40.92409241,0,8.580858086,37.29372937,0
10,9600,3.741496599,0,15.30612245,38.0952381,0,12.58503401,30.27210884,0
10,16800,5.333333333,0,22,29.33333333,0,19,24.33333333,0
11,0,48.32214765,51.67785235,0,0,0,0,0,0
11,1200,40.59405941,47.19471947,6.270627063,0,1.98019802,3.96039604,0,0
11,2400,36.02693603,41.41414141,11.11111111,2.02020202,2.693602694,6.734006734,0,0
11,4800,26.64473684,34.53947368,20.06578947,1.973684211,3.947368421,12.82894737,0,0
11,9600,18.41269841,23.49206349,28.57142857,4.126984127,5.714285714,19.68253968,0,0
11,16800,10.1010101,16.4983165,38.04713805,4.377104377,5.387205387,25.58922559,0,0
12,0,54.51388889,0,0,45.48611111,0,0,0,0
12,1200,44.79166667,0,7.986111111,43.40277778,0,2.430555556,1.388888889,0
12,2400,38.20598007,0,14.95016611,37.20930233,0,6.312292359,3.322259136,0
12,4800,27.73972603,0,25.34246575,35.61643836,0,7.191780822,4.109589041,0
12,9600,17.68707483,0,35.37414966,29.59183673,0,11.2244898,6.12244898,0
12,16800,10.65292096,0,43.9862543,21.99312715,0,16.49484536,6.872852234,0
13,0,0,0,0,0,52.02702703,0,0,47.97297297
13,1200,0,1.016949153,4.406779661,0,43.72881356,4.745762712,1.016949153,45.08474576
13,2400,0,3.03030303,5.050505051,0,39.73063973,8.754208754,3.03030303,40.4040404
13,4800,0,6.597222222,8.680555556,0,32.29166667,14.23611111,3.472222222,34.72222222
13,9600,0,6.338028169,12.67605634,0,24.64788732,23.23943662,3.873239437,29.22535211
13,16800,0,6.71641791,17.91044776,0,17.1641791,32.46268657,4.104477612,21.64179104
14,0,0,0,0,0,0,0,48.32214765,51.67785235
14,1200,0,0,2.295081967,3.606557377,0,5.245901639,42.95081967,45.90163934
14,2400,0,0,4.651162791,5.980066445,0,8.305647841,40.19933555,40.86378738
14,4800,0,0,7.717041801,9.003215434,1.92926045,14.14790997,34.40514469,32.79742765
14,9600,0,0,11.89710611,12.21864952,2.893890675,19.61414791,28.61736334,24.75884244
14,16800,0,0,16.18122977,13.91585761,2.265372168,26.86084142,23.94822006,16.82847896
