Run,Time,Glc,Man,All,Gal,Alt,Tal,Gul,Ido
1,0,100,0,0,0,0,0,0,0
1,1200,83.1395348837209,0.872093023255814,14.8255813953488,1.16279069767442,0,0,0,0
1,2400,68.7315634218289,1.17994100294985,29.2035398230089,0.884955752212386,0,0,0,0
1,4800,47.4926253687316,1.47492625368732,47.787610619469,2.06489675516224,0,1.17994100294985,0,0
1,9600,22.189349112426,1.18343195266272,70.414201183432,4.43786982248521,0,1.77514792899408,0,0
1,16800,10.6936416184971,1.15606936416185,78.9017341040463,5.49132947976878,0,3.75722543352601,0,0
2,0,0,100,0,0,0,0,0,0
2,1200,1.33779264214047,88.9632107023411,0,0,2.34113712374582,7.35785953177258,0,0
2,2400,2.99003322259136,79.0697674418605,0,0,4.31893687707641,13.6212624584718,0,0
2,4800,3.80952380952381,64.1269841269841,1.58730158730159,0,6.98412698412698,23.4920634920635,0,0
2,9600,4.81586402266289,42.4929178470255,5.09915014164306,0.849858356940511,9.34844192634561,37.3937677053824,0,0
2,16800,4.98533724340176,26.6862170087977,9.67741935483871,0.879765395894428,9.3841642228739,48.3870967741935,0,0
3,0,2.1021021021021,0,97.8978978978979,0,0,0,0,0
3,1200,3.01204819277108,0,96.9879518072289,0,0,0,0,0
3,2400,3.86904761904762,0,96.1309523809524,0,0,0,0,0
3,4800,4.87106017191977,0,95.1289398280802,0,0,0,0,0
3,9600,5.77507598784194,0,94.2249240121581,0,0,0,0,0
3,16800,7.2289156626506,0,92.7710843373494,0,0,0,0,0
4,0,0,0,0,100,0,0,0,0
4,1200,1.62337662337662,0,0,91.5584415584416,0,3.8961038961039,2.92207792207792,0
4,2400,2.30263157894737,0,0.328947368421053,84.2105263157895,0,8.55263157894737,4.60526315789474,0
4,4800,4.47284345047923,0,0.958466453674121,71.2460063897764,0,14.3769968051118,8.94568690095847,0
4,9600,4.6875,0,4.6875,55.3125,0,23.4375,11.875,0
4,16800,4.40251572327044,0,11.6352201257862,39.622641509434,0,31.7610062893082,12.5786163522013,0
5,0,0,0,0,0,0,100,0,0
5,1200,0,0,0,0,0,100,0,0
5,2400,0,0,0,0,0,100,0,0
5,4800,0,0,0,1.00334448160535,0,98.9966555183947,0,0
5,9600,0,0,0,1.72413793103448,0,98.2758620689655,0,0
5,16800,0,0,0,3.20284697508897,0,96.797153024911,0,0
6,0,0,0,0,0,100,0,0,0
6,1200,0.325732899022801,3.90879478827362,3.90879478827362,0,89.5765472312704,0,0,2.28013029315961
6,2400,0.636942675159236,8.9171974522293,8.9171974522293,0,79.9363057324841,0,0,1.59235668789809
6,4800,1.84049079754601,11.9631901840491,15.6441717791411,0,62.5766871165644,3.06748466257669,0,4.9079754601227
6,9600,1.58730158730159,18.0952380952381,24.4444444444444,0,44.1269841269841,8.88888888888889,0,2.85714285714286
6,16800,2.26537216828479,18.1229773462783,33.6569579288026,0,28.8025889967638,13.5922330097087,0,3.55987055016181
7,0,0,0,0,0,0,0,100,0
7,1200,0,0,2.1671826625387,5.26315789473685,0,0,92.5696594427244,0
7,2400,0,0,9.58083832335329,13.4730538922156,0,0,76.9461077844311,0
7,4800,0,0,16.5644171779141,19.6319018404908,0,1.53374233128834,62.2699386503068,0
7,9600,0,0,26.3929618768328,23.4604105571848,0,4.98533724340176,45.1612903225806,0
7,16800,3.09597523219814,0,33.1269349845201,25.077399380805,0,9.28792569659443,29.4117647058824,0
8,0,0,0,0,0,0,0,0,100
8,1200,0,0,0,0,1.66112956810631,8.97009966777409,0,89.3687707641196
8,2400,0,0,0,0,2.58899676375405,15.5339805825243,3.23624595469256,78.6407766990291
8,4800,0,0,0,0,3.98671096345515,25.2491694352159,4.65116279069768,66.1129568106312
8,9600,0,0,1.35593220338983,0,4.74576271186441,37.6271186440678,7.11864406779661,49.1525423728814
8,16800,0,0,3.80622837370242,0,4.49826989619377,50.1730103806228,7.26643598615917,34.2560553633218
