Run,Time,Glc,Man,All,Gal,Alt,Tal,Gul,Ido
1,0,100,0,0,0,0,0,0,0
1,1200,87.1875,3.125,7.8125,1.875,0,0,0,0
1,2400,77.08978328,5.263157895,12.69349845,3.715170279,0,1.238390093,0,0
1,4920,59.51661631,8.459214502,20.54380665,6.042296073,0,5.438066465,0,0
1,9720,43.32344214,9.792284866,25.51928783,6.528189911,0,14.83679525,0,0
1,16920,32.247557,8.143322476,31.59609121,4.885993485,0,23.12703583,0,0
2,0,0,0,0,100,0,0,0,0
2,1200,4,0,0,80,0,16,0,0
2,2400,4.191616766,0,0,67.06586826,0,28.74251497,0,0
2,4920,5.740181269,0,0,45.92145015,0,48.33836858,0,0
2,9720,7.042253521,1.690140845,5.070422535,20.56338028,0,65.63380282,0,0
2,16920,6.232294618,2.266288952,5.66572238,9.631728045,0,76.20396601,0,0
3,0,50.45045045,0,0,49.54954955,0,0,0,0
3,1200,46.3190184,1.533742331,4.294478528,41.10429448,0,6.748466258,0,0
3,2400,41.52046784,2.923976608,7.01754386,33.91812865,0,14.61988304,0,0
3,4920,34.13173653,4.491017964,11.67664671,23.35329341,0,26.34730539,0,0
3,9720,24.07407407,5.24691358,16.66666667,11.72839506,0,42.28395062,0,0
3,16920,18.13031161,5.949008499,18.98016997,7.932011331,0,49.00849858,0,0
4,0,4.117647059,0,95,0.882352941,0,0,0,0
4,1200,9.422492401,0,89.96960486,0.607902736,0,0,0,0
4,2400,13.06990881,0,85.41033435,1.519756839,0,0,0,0
4,4920,18.56287425,2.095808383,75.74850299,1.796407186,0,1.796407186,0,0
4,9720,25.65789474,4.276315789,57.56578947,3.618421053,0,8.881578947,0,0
5,0,0,0,0,0,0,0,100,0
5,1200,0,0,9.539473684,13.15789474,0,0,77.30263158,0
5,2400,0.967741935,0,13.87096774,20.32258065,0,3.870967742,60.96774194,0
5,4920,2.836879433,0,18.79432624,28.72340426,0,10.28368794,39.36170213,0
5,9720,6.840390879,1.302931596,21.17263844,25.40716612,0,27.36156352,17.91530945,0
5,16920,10.09463722,2.208201893,20.50473186,17.66561514,0,40.06309148,9.463722397,0
6,0,0,100,0,0,0,0,0,0
6,1200,1.052631579,85.26315789,0,0,0,13.68421053,0,0
6,2400,0.722021661,74.00722022,0,0,0,25.27075812,0,0
6,4920,2.189781022,54.37956204,0,0,0,43.43065693,0,0
6,9720,2.068965517,29.65517241,4.137931034,1.034482759,0,63.10344828,0,0
6,16920,1.798561151,17.98561151,3.237410072,0,0,76.97841727,0,0
7,0,0,0,0,0,84.06374502,0,0,15.93625498
7,1200,1.581027668,7.90513834,3.162055336,0,69.96047431,1.581027668,1.976284585,13.83399209
7,2400,1.838235294,13.60294118,5.514705882,0,58.08823529,4.411764706,1.470588235,15.07352941
7,4920,2.316602317,20.84942085,7.335907336,0,42.47104247,11.1969112,1.544401544,14.28571429
7,9720,4.642857143,23.21428571,11.07142857,0,22.5,25.71428571,0,12.85714286
7,16920,4.761904762,20.14652015,10.98901099,0,14.65201465,38.82783883,0,10.62271062
8,0,0,0,0,0,0,0,41.80064309,58.19935691
8,1200,0,0,5.079365079,5.079365079,0,5.079365079,33.01587302,51.74603175
8,2400,0,0.611620795,6.727828746,7.951070336,0,9.480122324,28.13455657,47.09480122
8,4920,0,0,7.61589404,10.59602649,0,16.55629139,21.85430464,43.37748344
8,9720,3.342618384,1.949860724,10.02785515,11.69916435,0,27.8551532,11.97771588,33.14763231
8,16920,3.333333333,1.818181818,10.60606061,10.60606061,0,40.3030303,7.272727273,26.06060606
9,0,56.59722222,43.40277778,0,0,0,0,0,0
9,1200,48.17275748,36.5448505,5.647840532,1.993355482,0,7.641196013,0,0
9,2400,43.23432343,32.01320132,8.910891089,2.640264026,0,13.20132013,0,0
9,4920,36.14864865,25.33783784,12.5,3.378378378,0,22.63513514,0,0
9,9720,26.66666667,16.49122807,16.49122807,3.50877193,0,36.84210526,0,0
9,16920,19.72789116,10.88435374,19.3877551,4.081632653,0,45.91836735,0,0
10,0,0,0,0,0,0,100,0,0
10,1200,0,0,0,0,0,100,0,0
10,2400,0,0,0,0,0,100,0,0
10,4920,0,0.684931507,0,0,0,99.31506849,0,0
10,9720,0,1.694915254,0,0,0,98.30508475,0,0
10,16920,0,2.040816327,0,1.020408163,0,96.93877551,0,0
