Run,Time,Glc,Man,All,Gal,Alt,Tal,Gul,Ido
1,0,100,0,0,0,0,0,0,0
1,1200,87,3,8,2,0,0,0,0
1,2400,77,5,13,4,0,1,0,0
1,4920,60,8,21,6,0,5,0,0
1,9720,43,10,26,7,0,15,0,0
1,16920,32,8,32,5,0,23,0,0
2,0,0,0,0,100,0,0,0,0
2,1200,4,0,0,80,0,16,0,0
2,2400,4,0,0,67,0,29,0,0
2,4920,6,0,0,46,0,48,0,0
2,9720,7,2,5,21,0,66,0,0
2,16920,6,2,6,10,0,76,0,0
3,0,4,0,95,1,0,0,0,0
3,1200,9,0,90,1,0,0,0,0
3,2400,13,0,85,2,0,0,0,0
3,4920,19,2,76,2,0,2,0,0
3,9720,26,4,58,4,0,9,0,0
4,0,0,0,0,0,0,0,100,0
4,1200,0,0,10,13,0,0,77,0
4,2400,1,0,14,20,0,4,61,0
4,4920,3,0,19,29,0,10,39,0
4,9720,7,1,21,25,0,27,18,0
4,16920,10,2,21,18,0,40,9,0
5,0,0,100,0,0,0,0,0,0
5,1200,1,85,0,0,0,14,0,0
5,2400,1,74,0,0,0,25,0,0
5,4920,2,54,0,0,0,43,0,0
5,9720,2,30,4,1,0,63,0,0
5,16920,2,18,3,0,0,77,0,0
6,0,0,0,0,0,84,0,0,16
6,1200,2,8,3,0,70,2,2,14
6,2400,2,14,6,0,58,4,1,15
6,4920,2,21,7,0,42,11,2,14
6,9720,5,23,11,0,23,26,0,13
6,16920,5,20,11,0,15,39,0,11
7,0,0,0,0,0,0,0,42,58
7,1200,0,0,5,5,0,5,33,52
7,2400,0,1,7,8,0,9,28,47
7,4800,0,0,8,11,0,17,22,43
7,9600,3,2,10,12,0,28,12,33
7,16800,3,2,11,11,0,40,7,26
8,0,0,0,0,0,0,100,0,0
8,1200,0,0,0,0,0,100,0,0
8,2400,0,0,0,0,0,100,0,0
8,4800,0,1,0,0,0,99,0,0
8,9600,0,2,0,0,0,98,0,0
8,16800,0,2,0,1,0,97,0,0
